Date,Watch time (hours)
2017-12-08,0.0093
2017-12-09,0.112
2017-12-10,0.2082
2017-12-11,0.0246
2017-12-12,0.0136
2017-12-13,0.0067
2017-12-14,0
2017-12-15,0.0043
2017-12-16,0.0309
2017-12-17,0
2017-12-18,0
2017-12-19,0
2017-12-20,0
2017-12-21,0
2017-12-22,0
2017-12-23,0.1143
2017-12-24,0.0488
2017-12-25,0.1414
2017-12-26,0.0181
2017-12-27,0.0171
2017-12-28,0.0355
2017-12-29,0.1704
2017-12-30,0.0222
2017-12-31,0.0013
2018-01-01,0
2018-01-02,0.0033
2018-01-03,0.0027
2018-01-04,0
2018-01-05,0
2018-01-06,0.0696
2018-01-07,0.1005
2018-01-08,0.114
2018-01-09,0.0585
2018-01-10,0.0422
2018-01-11,0.1106
2018-01-12,0.0209
2018-01-13,0.288
2018-01-14,0.2036
2018-01-15,0.0655
2018-01-16,0.0207
2018-01-17,0.0216
2018-01-18,0.0166
2018-01-19,0.0238
2018-01-20,0.1
2018-01-21,0.0578
2018-01-22,0.0523
2018-01-23,0.0093
2018-01-24,0.0608
2018-01-25,0.039
2018-01-26,0.0874
2018-01-27,0.0931
2018-01-28,0.0616
2018-01-29,0.041
2018-01-30,0.1564
2018-01-31,0.0425
2018-02-01,0.0203
2018-02-02,0.0322
2018-02-03,0.1104
2018-02-04,0.0751
2018-02-05,0.0513
2018-02-06,0.0091
2018-02-07,0.0142
2018-02-08,0.0066
2018-02-09,0.0149
2018-02-10,0.3074
2018-02-11,0.0919
2018-02-12,0.0257
2018-02-13,0.0092
2018-02-14,0.0351
2018-02-15,0.0275
2018-02-16,0.005
2018-02-17,0.0527
2018-02-18,0.0684
2018-02-19,0.1206
2018-02-20,0
2018-02-21,0.0718
2018-02-22,0.0265
2018-02-23,0
2018-02-24,0.1409
2018-02-25,0.1616
2018-02-26,0.0246
2018-02-27,0.0481
2018-02-28,0.0354
2018-03-01,0.086
2018-03-02,0.0322
2018-03-03,0.3211
2018-03-04,0.1622
2018-03-05,0.0684
2018-03-06,0.0559
2018-03-07,0.0226
2018-03-08,0.0971
2018-03-09,0.0317
2018-03-10,0.0676
2018-03-11,0.2506
2018-03-12,0.0937
2018-03-13,0.1151
2018-03-14,0.2149
2018-03-15,0.3256
2018-03-16,0.1617
2018-03-17,0.0784
2018-03-18,0.0487
2018-03-19,0.0152
2018-03-20,0.008
2018-03-21,0.0121
2018-03-22,0.0587
2018-03-23,0.0835
2018-03-24,0.0408
2018-03-25,0.021
2018-03-26,0.0397
2018-03-27,0.018
2018-03-28,0.0483
2018-03-29,0.0443
2018-03-30,0.017
2018-03-31,0.0622
2018-04-01,0.0456
2018-04-02,0.0205
2018-04-03,0.0041
2018-04-04,0.0136
2018-04-05,0.022
2018-04-06,0.0018
2018-04-07,0.0645
2018-04-08,0.0405
2018-04-09,0.0036
2018-04-10,0.0344
2018-04-11,0.0304
2018-04-12,0.0109
2018-04-13,0.0352
2018-04-14,0.0362
2018-04-15,0.1013
2018-04-16,0.0269
2018-04-17,0.0609
2018-04-18,0.1718
2018-04-19,0.1123
2018-04-20,0.0695
2018-04-21,0.0243
2018-04-22,0.0182
2018-04-23,0.0173
2018-04-24,0.0161
2018-04-25,0.0134
2018-04-26,0.0114
2018-04-27,0.0524
2018-04-28,0.0073
2018-04-29,0.0601
2018-04-30,0.0189
2018-05-01,0.0049
2018-05-02,0.0246
2018-05-03,0.0711
2018-05-04,0.0384
2018-05-05,0.0336
2018-05-06,0.0486
2018-05-07,0.0181
2018-05-08,0.0229
2018-05-09,0.0263
2018-05-10,0.0036
2018-05-11,0.033
2018-05-12,0.0588
2018-05-13,0.0517
2018-05-14,0.0227
2018-05-15,0
2018-05-16,0.0102
2018-05-17,0.0216
2018-05-18,0.0499
2018-05-19,0.0251
2018-05-20,0.0797
2018-05-21,0.0599
2018-05-22,0.0023
2018-05-23,0.0388
2018-05-24,0.208
2018-05-25,0.1903
2018-05-26,0.0446
2018-05-27,0.1729
2018-05-28,0.0854
2018-05-29,0.02
2018-05-30,0.0507
2018-05-31,0.0019
2018-06-01,0.0391
2018-06-02,0.0527
2018-06-03,0.0827
2018-06-04,0.0138
2018-06-05,0.074
2018-06-06,0.188
2018-06-07,0.2655
2018-06-08,0.2712
2018-06-09,0.0713
2018-06-10,0.0303
2018-06-11,0.2203
2018-06-12,0.0853
2018-06-13,0.034
2018-06-14,0.0272
2018-06-15,0.0191
2018-06-16,0.0271
2018-06-17,0.038
2018-06-18,0.0195
2018-06-19,0.0072
2018-06-20,0.0205
2018-06-21,0.0039
2018-06-22,0.0388
2018-06-23,0.0581
2018-06-24,0.0245
2018-06-25,0.0952
2018-06-26,0.1358
2018-06-27,0.1446
2018-06-28,0.4421
2018-06-29,0.1306
2018-06-30,0.0421
2018-07-01,0.0658
2018-07-02,0.1782
2018-07-03,0.1161
2018-07-04,0.1722
2018-07-05,0.0484
2018-07-06,0.0361
2018-07-07,0.0711
2018-07-08,0.1465
2018-07-09,0.0628
2018-07-10,0.0837
2018-07-11,0.3617
2018-07-12,0.3214
2018-07-13,0.174
2018-07-14,0.0742
2018-07-15,0.0634
2018-07-16,0.2545
2018-07-17,0.0195
2018-07-18,0.0769
2018-07-19,0.0173
2018-07-20,0.0766
2018-07-21,0.112
2018-07-22,0.1376
2018-07-23,0.1048
2018-07-24,0.2843
2018-07-25,0.1103
2018-07-26,0.126
2018-07-27,0.0446
2018-07-28,0.0382
2018-07-29,0.083
2018-07-30,0.4604
2018-07-31,0.377
2018-08-01,0.2009
2018-08-02,0.0996
2018-08-03,0.1297
2018-08-04,0.0255
2018-08-05,0.0704
2018-08-06,0.0971
2018-08-07,0.0514
2018-08-08,0.0346
2018-08-09,0.3679
2018-08-10,0.0726
2018-08-11,0.4375
2018-08-12,0.2521
2018-08-13,0.2623
2018-08-14,0.1268
2018-08-15,0.0507
2018-08-16,0
2018-08-17,0.038
2018-08-18,0.2406
2018-08-19,0.1188
2018-08-20,0.0161
2018-08-21,0.0333
2018-08-22,0.0022
2018-08-23,0.0043
2018-08-24,0.1321
2018-08-25,0.0556
2018-08-26,0.2293
2018-08-27,0.0138
2018-08-28,0.0087
2018-08-29,0.006
2018-08-30,0.0079
2018-08-31,0.023
2018-09-01,0.0389
2018-09-02,0.0908
2018-09-03,0.0656
2018-09-04,0.0168
2018-09-05,0.0168
2018-09-06,0.0165
2018-09-07,0.1261
2018-09-08,0.1203
